trade_id,entry_time,exit_time,entry_price,exit_price,position_size,position_type,pnl,gross_pnl,commission,funding,prediction,actual,probability,liquidated,margin_used,unrealized_pnl,margin_loss_pct
132,2025-04-09 00:00:00,2025-04-09 04:00:00,1417.96,1482.9,2.827599183289781,Long,181.5277675483883,183.62429096283853,2.0965234144502083,0.4193046828900417,0.0,0.0,0.3695138209994478,False,1336.4741793125258,183.62429096283853,0
133,2025-04-09 04:00:00,2025-04-09 08:00:00,1482.9,1454.64,-2.725511641530078,Short,75.04063986252231,77.02295898963997,1.9823191271176566,0.3964638254235313,1.0,1.0,0.8131487251335293,False,1347.2204044083176,77.02295898963997,0
134,2025-04-09 08:00:00,2025-04-09 20:00:00,1454.64,1668.69,2.7874480389666445,Long,594.3275594067385,596.6532527408101,2.3256933340716253,0.46513866681432503,0.0,0.0,0.18420935939956465,False,1351.5778051341467,596.6532527408101,0
135,2025-04-09 20:00:00,2025-04-10 12:00:00,1668.69,1495.0,-2.493636897660955,Short,431.2557991737298,433.1197927547314,1.8639935810015638,0.3727987162003128,1.0,1.0,0.8425056183873254,False,1387.035651585953,433.1197927547314,0
136,2025-04-10 12:00:00,2025-04-11 20:00:00,1495.0,1565.96,2.83488113642799,Long,198.9435102087299,201.16316544093027,2.2196552322003877,0.4439310464400776,0.0,0.0,0.2614073322576152,False,1412.7157663199484,201.16316544093027,0
137,2025-04-11 20:00:00,2025-04-12 00:00:00,1565.96,1553.61,-2.728845015206484,Short,31.581455485762977,33.70123593780045,2.1197804520374723,0.42395609040749455,1.0,1.0,0.7189508380342077,False,1424.420713337582,33.70123593780045,0
138,2025-04-12 00:00:00,2025-04-12 12:00:00,1553.61,1655.1,2.753899560579109,Long,277.21427682181655,279.4932664031738,2.2789895813572416,0.45579791627144833,0.0,0.0,0.113922606033713,False,1426.161965437103,279.4932664031738,0
139,2025-04-12 12:00:00,2025-04-13 20:00:00,1655.1,1596.92,-2.6148027313681097,Short,150.04140752210802,152.1292229109962,2.087815388888181,0.41756307777763624,1.0,1.0,0.6621707209819048,False,1442.586666895786,152.1292229109962,0
140,2025-04-13 20:00:00,2025-04-14 08:00:00,1596.92,1674.63,2.726497028484919,Long,209.59314722415732,211.87608408356317,2.2829368594058503,0.45658737188117005,0.0,0.0,0.17609724325034393,False,1451.332544909379,211.87608408356317,0
141,2025-04-14 08:00:00,2025-04-14 12:00:00,1674.63,1626.96,-2.6221733271427285,Short,122.86591694673,124.99900250489407,2.133085558164067,0.42661711163281335,1.0,1.0,0.7029925435967284,False,1463.7233729443426,124.99900250489407,0
142,2025-04-14 12:00:00,2025-04-14 16:00:00,1626.96,1635.92,2.7123063796852103,Long,22.083707035652267,24.302265161979584,2.2185581263273146,0.443711625265463,0.0,0.0,0.23287189224161375,False,1470.9379958308834,24.302265161979584,0
143,2025-04-14 16:00:00,2025-04-14 20:00:00,1635.92,1623.02,-2.6995892423881642,Short,32.63395756071714,34.82470122680756,2.190743666090419,0.43814873321808384,1.0,1.0,0.6541006466543661,False,1472.1040111358818,34.82470122680756,0
144,2025-04-14 20:00:00,2025-04-15 04:00:00,1623.02,1644.18,2.724371733505187,Long,55.4080271225727,57.64770588096998,2.2396787583972793,0.4479357516794559,0.0,0.0,0.21750433602760907,False,1473.9032703045295,57.64770588096998,0
145,2025-04-15 04:00:00,2025-04-16 00:00:00,1644.18,1590.02,-2.695084889414399,Short,143.82317817275072,145.96579761068406,2.1426194379333414,0.4285238875866683,1.0,0.0,0.5250265367863369,False,1477.0682244924556,145.96579761068406,0
146,2025-04-16 04:00:00,2025-04-16 16:00:00,1563.45,1588.16,2.850350992699558,Long,68.16876631332332,70.43217302960618,2.2634067162828653,0.45268134325657305,0.0,0.0,0.4799060829034724,False,1485.4604198453746,70.43217302960618,0
147,2025-04-17 00:00:00,2025-04-17 04:00:00,1584.04,1600.99,2.8207425825846424,Long,45.55359644116373,47.81158677480982,2.2579903336460934,0.4515980667292187,0.0,0.0,0.26176679495685035,False,1489.3896935057924,47.81158677480982,0
148,2025-04-17 04:00:00,2025-04-18 12:00:00,1600.99,1582.27,-2.795698477196941,Short,50.12370057836961,52.33547549312681,2.2117749147572017,0.4423549829514404,1.0,1.0,0.7760804158600919,False,1491.9617683358433,52.33547549312681,0
149,2025-04-18 12:00:00,2025-04-20 00:00:00,1582.27,1611.14,2.834121217516862,Long,79.53799652051708,81.82107954971214,2.283083029195059,0.45661660583901176,0.0,0.0,0.17975875809894923,False,1494.7816596134685,81.82107954971214,0
150,2025-04-20 00:00:00,2025-04-20 12:00:00,1611.14,1572.8,-2.7918204481416242,Short,104.84290838133171,107.03839598175028,2.195487600418573,0.4390975200837146,1.0,1.0,0.7973185604642612,False,1499.3378656062991,107.03839598175028,0
151,2025-04-20 12:00:00,2025-04-21 04:00:00,1572.8,1645.1,2.8715165481788256,Long,205.24868049662447,207.61064643332895,2.3619659367044927,0.4723931873408986,0.0,0.0,0.17117271345723464,False,1505.4404089918858,207.61064643332895,0
152,2025-04-21 04:00:00,2025-04-22 00:00:00,1645.1,1578.21,-2.7673746426573724,Short,182.92594067995714,185.1096898473513,2.183749167394146,0.4367498334788292,1.0,1.0,0.852625432911548,False,1517.536008211881,185.1096898473513,0
153,2025-04-22 00:00:00,2025-04-23 20:00:00,1578.21,1794.46,2.905168211511366,Long,625.6360216649185,628.2426257393329,2.606604074414343,0.5213208148828686,0.0,0.0,0.27105134075700343,False,1528.3218410297845,628.2426257393329,0
154,2025-04-23 20:00:00,2025-04-24 08:00:00,1794.46,1754.05,-2.617294169974981,Short,103.46942498926688,105.7648574086892,2.295432419422308,0.45908648388446155,1.0,1.0,0.7054211059679315,False,1565.5432320844347,105.7648574086892,0
155,2025-04-24 08:00:00,2025-04-25 16:00:00,1754.05,1801.45,2.687874120304354,Long,124.98419788541548,127.40523330242662,2.4210354170111392,0.48420708340222784,0.0,0.0,0.2843625518248435,False,1571.5552002399506,127.40523330242662,0
156,2025-04-25 16:00:00,2025-04-25 20:00:00,1801.45,1783.77,-2.6292118045470274,Short,44.139510134093186,46.48446470439161,2.344954570298426,0.4689909140596851,1.0,1.0,0.7361869070342261,False,1578.7978684337477,46.48446470439161,0
157,2025-04-25 20:00:00,2025-04-26 04:00:00,1783.77,1799.54,2.659439290567939,Long,39.54647392178204,41.93935761225635,2.3928836904743145,0.4785767380948629,0.0,0.0,0.2651818283428672,False,1581.2760077787907,41.93935761225635,0
158,2025-04-26 04:00:00,2025-04-26 08:00:00,1799.54,1784.73,-2.6398042279178764,Short,36.73983171561767,39.09550061546361,2.355668899845936,0.4711337799691872,1.0,1.0,0.7407215390151539,False,1583.477766769112,39.09550061546361,0
159,2025-04-26 08:00:00,2025-04-26 20:00:00,1784.73,1820.0,2.6651281297107823,Long,91.57380253686243,93.99906913489924,2.425266598036812,0.4850533196073624,0.0,0.0,0.2778105656606303,False,1585.5113756462415,93.99906913489924,0
160,2025-04-26 20:00:00,2025-04-27 12:00:00,1820.0,1792.88,-2.6222064246363246,Short,68.76358750883585,71.11423823613684,2.350650727300987,0.47013014546019744,1.0,1.0,0.7593566466525065,False,1590.8052309460368,71.11423823613684,0
161,2025-04-27 12:00:00,2025-04-27 16:00:00,1792.88,1806.95,2.6684406097320723,Long,35.13408999905241,37.54495937893009,2.410869379877684,0.4821738759755368,0.0,0.0,0.36298042841340084,False,1594.731266792146,37.54495937893009,0
162,2025-04-27 16:00:00,2025-04-28 00:00:00,1806.95,1783.25,-2.650876099414239,Short,60.46217615397736,62.82576355611758,2.3635874021402206,0.4727174804280441,1.0,1.0,0.8561594917096443,False,1596.6668559455195,62.82576355611758,0
163,2025-04-28 00:00:00,2025-04-28 08:00:00,1783.25,1815.0,2.6919206899462726,Long,83.02556387966791,85.46848190579415,2.442918026126242,0.48858360522524846,0.0,0.0,0.24668840136574982,False,1600.122523448897,85.46848190579415,0
164,2025-04-28 08:00:00,2025-04-28 12:00:00,1815.0,1762.08,-2.652729908588896,Short,138.0453056038614,140.38246676252456,2.337161158663161,0.46743223173263215,1.0,1.0,0.8769386307378227,False,1604.901594696282,140.38246676252456,0
165,2025-04-28 12:00:00,2025-04-29 08:00:00,1762.08,1828.9,2.7462064593351383,Long,180.9902471160354,183.5015156127744,2.5112684967390173,0.5022536993478035,0.0,0.0,0.2601055608963805,False,1613.0118259550868,183.5015156127744,0
166,2025-04-29 08:00:00,2025-04-29 20:00:00,1828.9,1796.57,-2.663348878623222,Short,83.71362289845511,86.10606924588917,2.3924463474340607,0.47848926948681214,1.0,1.0,0.5686463137437064,False,1623.6662547046703,86.10606924588917,0
167,2025-04-29 20:00:00,2025-04-30 00:00:00,1796.57,1808.19,2.7193237128885226,Long,29.140014571561007,31.598541543764956,2.458526972203949,0.4917053944407898,0.0,0.0,0.3529654243822811,False,1628.4851342880445,31.598541543764956,0
168,2025-04-30 00:00:00,2025-04-30 04:00:00,1808.19,1795.55,-2.704457168510918,Short,31.756344575518387,34.184338609978276,2.4279940344598896,0.48559880689197793,1.0,1.0,0.6584806889946893,False,1630.0574691765858,34.184338609978276,0
169,2025-04-30 04:00:00,2025-04-30 08:00:00,1795.55,1814.79,2.7263852447725947,Long,49.98174377024432,52.45565210942475,2.4739083391804284,0.4947816678360857,0.0,0.0,0.21997884512175434,False,1631.7870087504775,52.45565210942475,0
170,2025-04-30 08:00:00,2025-04-30 12:00:00,1814.79,1763.72,-2.7021463072518053,Short,135.61569716883645,137.9986119113495,2.3829147425130768,0.4765829485026154,1.0,1.0,0.7528245233098035,False,1634.6093656458345,137.9986119113495,0
171,2025-04-30 12:00:00,2025-05-01 12:00:00,1763.72,1851.99,2.7939308920738206,Long,244.03311380695018,246.6202798433561,2.5871660364058977,0.5174332072811796,0.0,0.0,0.20545465799502421,False,1642.5705976561462,246.6202798433561,0
172,2025-05-01 12:00:00,2025-05-01 20:00:00,1851.99,1837.19,-2.684096540197762,Short,37.25903113358379,39.72462879492675,2.465597661342963,0.4931195322685926,1.0,1.0,0.6334649573604508,False,1656.9733171602843,39.72462879492675,0
173,2025-05-01 20:00:00,2025-05-02 00:00:00,1837.19,1846.66,2.709077685363766,Long,23.15359298116801,25.654965680394938,2.501372699226926,0.5002745398453853,0.0,0.0,0.13168588890776117,False,1659.0301442578188,25.654965680394938,0
