trade_id,entry_time,exit_time,position_type,entry_price,exit_price,pnl,duration
501,2025-05-06 08:50:00,2025-05-06 08:51:00,SHORT,94291.01,94303.67,-0.0001342651860448148,0.016666666666666666
502,2025-05-06 08:59:00,2025-05-06 09:00:00,LONG,94375.9,94372.64,-3.4542716943570994e-05,0.016666666666666666
503,2025-05-06 09:01:00,2025-05-06 09:02:00,LONG,94315.52,94309.44,-6.446446989850394e-05,0.016666666666666666
504,2025-05-06 09:05:00,2025-05-06 09:07:00,SHORT,94291.93,94288.83,3.287662051239453e-05,0.03333333333333333
505,2025-05-06 09:10:00,2025-05-06 09:11:00,SHORT,94268.0,94260.32,8.146985191149717e-05,0.016666666666666666
506,2025-05-06 09:15:00,2025-05-06 09:16:00,SHORT,94223.56,94205.13,0.00019559863796266046,0.016666666666666666
507,2025-05-06 09:23:00,2025-05-06 09:24:00,SHORT,94194.39,94186.54,8.333829647398132e-05,0.016666666666666666
508,2025-05-06 09:27:00,2025-05-06 09:28:00,SHORT,94186.29,94186.3,-1.0617256512931156e-07,0.016666666666666666
509,2025-05-06 09:30:00,2025-05-06 09:31:00,SHORT,94210.54,94191.71,0.00019987147934814084,0.016666666666666666
510,2025-05-06 09:35:00,2025-05-06 09:36:00,SHORT,94206.61,94203.86,2.9191157605607505e-05,0.016666666666666666
511,2025-05-06 09:45:00,2025-05-06 09:46:00,SHORT,94134.23,94120.11,0.00014999857118919805,0.016666666666666666
512,2025-05-06 09:47:00,2025-05-06 09:50:00,SHORT,94136.0,94142.56,-6.968641114980105e-05,0.05
513,2025-05-06 09:51:00,2025-05-06 09:54:00,SHORT,94159.99,94205.85,-0.00048704338222636367,0.05
514,2025-05-06 09:56:00,2025-05-06 09:57:00,SHORT,94216.81,94216.82,-1.0613817225729916e-07,0.016666666666666666
515,2025-05-06 10:06:00,2025-05-06 10:07:00,SHORT,94172.16,94182.24,-0.00010703800358834018,0.016666666666666666
516,2025-05-06 10:13:00,2025-05-06 10:14:00,SHORT,94157.54,94153.07,4.747362770933281e-05,0.016666666666666666
517,2025-05-06 10:16:00,2025-05-06 10:17:00,SHORT,94217.05,94227.31,-0.00010889748723818843,0.016666666666666666
518,2025-05-06 10:18:00,2025-05-06 10:19:00,SHORT,94247.65,94252.82,-5.4855479155319055e-05,0.016666666666666666
519,2025-05-06 10:20:00,2025-05-06 10:21:00,SHORT,94323.81,94296.71,0.00028730815686931296,0.016666666666666666
520,2025-05-06 10:24:00,2025-05-06 10:25:00,SHORT,94293.74,94298.96,-5.535892414492377e-05,0.016666666666666666
521,2025-05-06 10:31:00,2025-05-06 10:32:00,SHORT,94222.3,94228.55,-6.633249241421616e-05,0.016666666666666666
522,2025-05-06 10:36:00,2025-05-06 10:37:00,SHORT,94219.23,94237.68,-0.00019581989791252901,0.016666666666666666
523,2025-05-06 10:43:00,2025-05-06 10:44:00,SHORT,94094.92,94069.11,0.0002742974859854036,0.016666666666666666
524,2025-05-06 10:54:00,2025-05-06 10:55:00,SHORT,93940.0,93935.62,4.6625505641948656e-05,0.016666666666666666
525,2025-05-06 10:58:00,2025-05-06 10:59:00,SHORT,93945.52,93942.83,2.8633616589724857e-05,0.016666666666666666
526,2025-05-06 11:01:00,2025-05-06 11:02:00,SHORT,94025.44,93979.81,0.0004852941927206579,0.016666666666666666
527,2025-05-06 11:03:00,2025-05-06 11:04:00,SHORT,94045.29,94048.57,-3.4876813076055034e-05,0.016666666666666666
528,2025-05-06 11:10:00,2025-05-06 11:11:00,SHORT,94062.06,94062.5,-4.677762745174072e-06,0.016666666666666666
529,2025-05-06 11:18:00,2025-05-06 11:19:00,SHORT,94047.62,94009.51,0.000405220249061067,0.016666666666666666
530,2025-05-06 11:21:00,2025-05-06 11:22:00,SHORT,94039.9,94053.96,-0.0001495110054350571,0.016666666666666666
531,2025-05-06 11:26:00,2025-05-06 11:27:00,SHORT,93924.9,93888.89,0.0003833914116490384,0.016666666666666666
532,2025-05-06 11:30:00,2025-05-06 11:31:00,SHORT,93927.22,93892.37,0.0003710319543153286,0.016666666666666666
533,2025-05-06 11:35:00,2025-05-06 11:36:00,SHORT,93877.02,93919.99,-0.0004577265021834008,0.016666666666666666
534,2025-05-06 11:37:00,2025-05-06 11:38:00,SHORT,93960.22,93944.3,0.00016943340490260935,0.016666666666666666
535,2025-05-06 11:42:00,2025-05-06 11:43:00,SHORT,93856.99,93879.34,-0.00023812824170039193,0.016666666666666666
536,2025-05-06 11:55:00,2025-05-06 11:57:00,SHORT,93750.01,93796.71,-0.000498133280199241,0.03333333333333333
537,2025-05-06 11:58:00,2025-05-06 11:59:00,SHORT,93812.54,93812.54,0.0,0.016666666666666666
538,2025-05-06 12:03:00,2025-05-06 12:04:00,SHORT,93865.2,93860.65,4.847376876630435e-05,0.016666666666666666
539,2025-05-06 12:05:00,2025-05-06 12:06:00,SHORT,93875.79,93893.91,-0.00019302101212687422,0.016666666666666666
540,2025-05-06 12:08:00,2025-05-06 12:09:00,SHORT,93891.59,93860.38,0.00033240463815760126,0.016666666666666666
541,2025-05-06 12:14:00,2025-05-06 12:16:00,SHORT,93809.89,93803.72,6.577131686220134e-05,0.03333333333333333
542,2025-05-06 12:18:00,2025-05-06 12:19:00,SHORT,93856.61,93864.12,-8.00156749747808e-05,0.016666666666666666
543,2025-05-06 12:23:00,2025-05-06 12:24:00,SHORT,93870.81,93850.63,0.00021497630626595227,0.016666666666666666
544,2025-05-06 12:29:00,2025-05-06 12:31:00,SHORT,93823.81,93880.0,-0.0005988884910983932,0.03333333333333333
545,2025-05-06 12:32:00,2025-05-06 12:34:00,SHORT,93894.3,93920.83,-0.0002825517629930553,0.03333333333333333
546,2025-05-06 12:36:00,2025-05-06 12:37:00,SHORT,93946.41,93937.83,9.132866279830965e-05,0.016666666666666666
547,2025-05-06 12:39:00,2025-05-06 12:40:00,SHORT,93964.65,93953.29,0.00012089652864136228,0.016666666666666666
548,2025-05-06 12:41:00,2025-05-06 12:42:00,SHORT,93996.79,94000.0,-3.415010235994658e-05,0.016666666666666666
549,2025-05-06 12:46:00,2025-05-06 12:48:00,SHORT,93965.57,94027.19,-0.0006557721088691884,0.03333333333333333
550,2025-05-06 12:51:00,2025-05-06 12:52:00,SHORT,94001.65,93954.92,0.0004971189335505912,0.016666666666666666
551,2025-05-06 12:55:00,2025-05-06 12:56:00,SHORT,93966.21,93952.2,0.00014909614849858594,0.016666666666666666
552,2025-05-06 13:10:00,2025-05-06 13:11:00,SHORT,93752.38,93741.28,0.00011839699429503358,0.016666666666666666
553,2025-05-06 13:13:00,2025-05-06 13:14:00,SHORT,93762.48,93735.53,0.00028742840419746884,0.016666666666666666
