,symbol,timestamp,open,high,low,close,volume,trade_count,vwap,SMA21,Position,Returns,Strategy
122,BTC/USD,2023-05-02 05:00:00+00:00,28001.15,28933.38,27935.07,28560.768,5977.436116576,156040.0,28512.6392446503,29020.11717326262,-1,0.020677162257601855,-0.020677162257601855
123,BTC/USD,2023-05-03 05:00:00+00:00,28566.64,29301.54,28166.26,29158.314958215,8937.83216316,193702.0,28695.6128807025,28976.15109310619,1,0.020921949935484907,-0.020921949935484907
124,BTC/USD,2023-05-04 05:00:00+00:00,29151.48,29591.8,28700.0,29284.95,6220.155063225,139845.0,29071.5597532195,28906.907637629996,1,0.004343016459163573,0.004343016459163573
125,BTC/USD,2023-05-05 05:00:00+00:00,29288.42,29912.14,28820.0,29517.24,5799.730311611,121489.0,29459.161103819,28865.457522534758,1,0.007932060665973406,0.007932060665973406
126,BTC/USD,2023-05-06 05:00:00+00:00,29517.24,29642.5668870935,28500.0,29068.181707615,4245.66563913,90374.0,29082.9313856369,28805.429508611665,1,-0.015213424167876188,-0.015213424167876188
127,BTC/USD,2023-05-07 05:00:00+00:00,29075.99,29389.88,28820.75,28852.82155122,4518.050730932,92184.0,29130.3262987329,28749.849472198337,1,-0.007408793524177781,-0.007408793524177781
128,BTC/USD,2023-05-08 05:00:00+00:00,28857.5,28924.0,27669.4,28181.8225,7000.442116224,136755.0,28166.8096200648,28686.50753608167,-1,-0.023255924902485958,-0.023255924902485958
129,BTC/USD,2023-05-09 05:00:00+00:00,28195.28,28514.04,27625.78,27745.5222405,2832.52074077,71862.0,28107.3670684993,28568.809548962618,-1,-0.015481619739106667,0.015481619739106667
130,BTC/USD,2023-05-10 05:00:00+00:00,27745.0,28356.27,26834.655,27551.23,3527.882047492,96911.0,27772.1730469359,28504.412489034046,-1,-0.00700265213304907,0.00700265213304907
131,BTC/USD,2023-05-11 05:00:00+00:00,27549.85,27868.3355590955,26600.0,26739.62,2648.941765892,72149.0,27101.3561629805,28431.91413427214,-1,-0.02945821293640971,0.02945821293640971
132,BTC/USD,2023-05-12 05:00:00+00:00,26739.62,27534.5575590955,25869.675215,26800.59,3427.11922793,102817.0,26515.5133986503,28404.76818808167,-1,0.002280137114887948,-0.002280137114887948
133,BTC/USD,2023-05-13 05:00:00+00:00,26804.8765,27130.9971835,26603.85,26838.24,1354.471570672,54438.0,26837.7885994821,28367.265784360243,-1,0.0014048198192653238,-0.0014048198192653238
134,BTC/USD,2023-05-14 05:00:00+00:00,26838.24,27383.05015,26750.5,27296.35,1833.544096326,57970.0,27002.832961748,28346.776327455478,-1,0.017069301116615643,-0.017069301116615643
